Equipment Type,PM Type,Checklist Item
ALL,250H,"Check box for wear, damage and cracks"
ALL,250H,Check entire frame for damage or cracks
ALL,250H,"Check ROPS for damage, cracks and mounting"
ALL,250H,Ensure ROPS tag is securely mounted and legible
ALL,250H,Check fire extinguisher mounting and condition
ALL,250H,Inspect all grease lines mounting and condition
ALL,250H,Inspect all grease fittings conditon and functionality
ALL,250H,Grease entire unit
ALL,250H,FIRE SUPPRESSION (MANUAL SYSTEM)
ALL,250H,Units Equipped with Checkfire use Ansul Inspection Sheet
ALL,250H,Note general appearance and mount of dry chemical tank
ALL,250H,"Check nameplates for readabilty, mounting and corrosion"
ALL,250H,"Remove fill cap,examine gasket, threads and relief vent"
ALL,250H,Ensure tank is filled with free flowing ansul dry foray chemical to a level not more than three inches below bottom of fill opening
ALL,250H,Lubricate fill cap gasket with high temp grease and reinstall hand tight
ALL,250H,Ensure tank is securely mounted and damage free
ALL,250H,Disengage burst disc union and examing burst disc
ALL,250H,Install air line adapter and blow air through system ensuring all nozzles receive air and no leaks in system
ALL,250H,Remove adapter and reinstall burst disc union wrench tighten but with caution
ALL,250H,"Check all hoses, fittings and nozzles for damage mounting and wear"
ALL,250H,"Check all nozzles for placement, mounting and condition, install new blow-off caps"
ALL,250H,Check remote actuator. Inspect threads and relief vent examine and lubricate gasket
ALL,250H,Remove expellant gas cartridge check for damage or corrosion
ALL,250H,Pull ring pin and try actuator several times checking for freedom of movement
ALL,250H,Check threads and relief vent check and lubricate gasket with high temp grease
ALL,250H,Return cartridge to receiver and hand tighten
ALL,250H,Ensure FSS engine shutdown is functional
ALL,250H,Seal ring pin to actuator with plastic seal or lead and wire
ALL,500H,Ensure all wheel chocks are present
ALL,500H,Perform Park brake test as per attached sheet
ALL,500H,Perform Service brake test as per attach. Sheet
ALL,500H,Where applicable test ABA (auto brake application)
ALL,500H,Check mounting and operation of all lights
ALL,500H,"Check operation, condition of all gauges and warning lights"
ALL,500H,Check seat and seat belts for condition and mounting
ALL,500H,Check unit over for visible leaks
ALL,500H,Wash machine thoroughly including rad and coolers
ALL,500H,"Check for unusual noises, vibrations or behaviors"
ALL,500H,ENGINE SECTION
ALL,500H,Check and retorque engine mounts
ALL,500H,Inspect all intake and exhaust piping and manifolds
ALL,500H,"Inspect fan, fan drive and belts adjust if required"
ALL,500H,Lubricate fan hub (do not overgrease)
ALL,500H,"Check alternator mounts, belts and charging"
ALL,500H,Check starter mounting and operation
ALL,500H,"Check for oil, coolant or fuel leaks"
ALL,500H,Check coolant level and strength
ALL,500H,Clean centrifugal oil cleaner
ALL,500H,Check all engine harnesses for condition and mounting
ALL,500H,"Check purifiers, mounting and back pressure"
ALL,500H,Change engine oil and filters
ALL,500H,Change all fuel filters
ALL,500H,Change inner and outer air elements if required
ALL,500H,"Start engine check for leaks,oil pressure and operation"
ALL,500H,TRANSMISSION AND CONVERTOR
ALL,500H,Check and adjust oil level (change if dirty or burnt)
ALL,500H,Change transmission filter
ALL,500H,Check shifting and neutral start operation
ALL,500H,Check convertor out pressure _______ PSI
ALL,500H,Check transmission clutch pressure _______ PSI
ALL,500H,Check convertor mounting bolts
ALL,500H,Check and tighten all transmission mounts
ALL,500H,Inspect and lubricate high speed driveline
ALL,500H,Check input and output bearings
ALL,500H,Check closely for leaks
ALL,500H,Check condition and mounting of all hoses
ALL,500H,"Check retarder mounting, plumbing and operation"
ALL,500H,Front Axle
ALL,500H,Check axle and planetary oil levels and conditons
ALL,500H,Check entire axle for leaks
ALL,500H,Clean axle breather
ALL,500H,Check axle tie bolts condition and tightness
ALL,500H,Retorque wheel nuts
ALL,500H,Check and lubricate oscillating axle assembly
ALL,500H,Check condition of tires and rims
ALL,500H,Check all hoses and wiring under front half of machine
ALL,500H,Rear Axle
ALL,500H,Check rear axle and planetary oil levels and condition
ALL,500H,Check over entire axle for leaks
ALL,500H,Clean axle breather
ALL,500H,Check axle mounting bolts 
ALL,500H,Inspect and lubricate oscillating axle assembly
ALL,500H,Retorque wheel nuts
ALL,500H,Check condition of tires and rims
ALL,500H,Check all hoses and wiring under rear half of machine
ALL,500H,BRAKES SYSTEM
ALL,500H,"Check condition, mounting leaks on all brake cooling lines"
ALL,500H,Check brake cooling oil level (change if burnt or dirty)
ALL,500H,Change all brake filters
ALL,500H,Check for damaged or worn brake lines
ALL,500H,Check proper operation of all brake valves
ALL,500H,Ensure all brake pressures are correct
ALL,500H,Check entire brake system for leaks
ALL,500H,Check condition and clearance of park brake pucks
ALL,500H,"Check condition and mounting of calipers, pads and rotors"
ALL,500H,Check all brake accumulators pre-charge pressure
ALL,500H,HYDRAULICS SYSTEM
ALL,500H,Check hydraulic oil level and condition
ALL,500H,Change hydraulic filters
ALL,500H,Check over entire unit for hydraulic leaks
ALL,500H,Check and record main hydraulic pressure
ALL,500H,"Check all hoses for mounting, routing and condition"
ALL,500H,Check mounting of all pumps and valves
ALL,500H,Check all hydraulic functions for proper operation
ALL,500H,STEERING SYSTEM
ALL,500H,Check and record steering pressure
ALL,500H,Check steering operation and speed
ALL,500H,Change steering filter
ALL,500H,Check operation of emergency steering
ALL,500H,Check operation of dump valve
ALL,500H,Check steering accumulator pre-charge
ALL,500H,Check condition of all steering linkage
ALL,500H,Check adjustment and condition of steering stops
ALL,500H,Check condition of steering pins and bushings
ALL,500H,Check condition of steering cylinders
ALL,500H,ELECTRICAL SYSTEM 
ALL,500H,Check clean and tighten all battery connections and mounts
ALL,500H,Check electrolyte level and specific gravity
ALL,500H,Check all gauges and switches condition and operation
ALL,500H,Check all wiring and harnessess condition and mounting
ALL,500H,Check all lights for operation and condition
ALL,500H,Check function of FSS engine shutdown
ALL,500H,FRAME & ATTACHMENTS
ALL,500H,Check and adjust centre pins as required
ALL,500H,"Check steer, hoist cyl. pins and bushings"
ALL,500H,"Check box for wear, damage and cracks"
ALL,500H,Check entire frame for damage or cracks
ALL,500H,"Check ROPS for damage, cracks and mounting"
ALL,500H,Ensure ROPS tag is securely mounted and legible
ALL,500H,Check fire extinguisher mounting and condition
ALL,500H,Inspect all grease lines mounting and condition
ALL,500H,Inspect all grease fittings conditon and functionality
ALL,500H,Grease entire unit
ALL,500H,FIRE SUPPRESSION (MANUAL SYSTEM)
ALL,500H,Units Equipped with Checkfire use Ansul Inspection Sheet
ALL,500H,Note general appearance and mount of dry chemical tank
ALL,500H,"Check nameplates for readabilty, mounting and corrosion"
ALL,500H,"Remove fill cap,examine gasket, threads and relief vent"
ALL,500H,Ensure tank is filled with free flowing ansul dry foray chemical to a level not more than three inches below bottom of fill opening
ALL,500H,Lubricate fill cap gasket with high temp grease and reinstall hand tight
ALL,500H,Ensure tank is securely mounted and damage free
ALL,500H,Disengage burst disc union and examing burst disc
ALL,500H,Install air line adapter and blow air through system ensuring all nozzles receive air and no leaks in system
ALL,500H,Remove adapter and reinstall burst disc union wrench tighten but with caution
ALL,500H,"Check all hoses, fittings and nozzles for damage mounting and wear"
ALL,500H,"Check all nozzles for placement, mounting and condition, install new blow-off caps"
ALL,500H,Check remote actuator. Inspect threads and relief vent examine and lubricate gasket
ALL,500H,Remove expellant gas cartridge check for damage or corrosion
ALL,500H,Pull ring pin and try actuator several times checking for freedom of movement
ALL,500H,Check threads and relief vent check and lubricate gasket with high temp grease
ALL,500H,Return cartridge to receiver and hand tighten
ALL,500H,Ensure FSS engine shutdown is functional
ALL,500H,Seal ring pin to actuator with plastic seal or lead and wire
ALL,1000H,Ensure all wheel chocks are present
ALL,1000H,Perform Park brake test as per attached sheet
ALL,1000H,Perform Service brake test as per attach. Sheet
ALL,1000H,Where applicable test ABA (auto brake application)
ALL,1000H,Check mounting and operation of all lights
ALL,1000H,"Check operation, condition of all gauges and warning lights"
ALL,1000H,Check seat and seat belts for condition and mounting
ALL,1000H,Check unit over for visible leaks
ALL,1000H,Wash machine thoroughly including rad and coolers
ALL,1000H,"Check for unusual noises, vibrations or behaviors"
ALL,1000H,ENGINE SECTION
ALL,1000H,Check and retorque engine mounts
ALL,1000H,Inspect all intake and exhaust piping and manifolds
ALL,1000H,"Inspect fan, fan drive and belts adjust if required"
ALL,1000H,Lubricate fan hub (do not overgrease)
ALL,1000H,"Check alternator mounts, belts and charging"
ALL,1000H,Check starter mounting and operation
ALL,1000H,"Check for oil, coolant or fuel leaks"
ALL,1000H,Check coolant level and strength
ALL,1000H,Clean centrifugal oil cleaner
ALL,1000H,Check all engine harnesses for condition and mounting
ALL,1000H,"Check purifiers, mounting "
ALL,1000H,Remove and clean purifiers (reverse flush)
ALL,1000H,Change engine oil and filters
ALL,1000H,Change all fuel filters
ALL,1000H,Change inner and outer air elements if required
ALL,1000H,"Start engine check for leaks,oil pressure and operation"
ALL,1000H,TRANSMISSION AND CONVERTOR
ALL,1000H,Change transmission oil
ALL,1000H,Change transmission filter
ALL,1000H,Clean suction screen
ALL,1000H,Check shifting and neutral start operation
ALL,1000H,Check convertor out pressure _______ PSI
ALL,1000H,Check transmission clutch pressure _______ PSI
ALL,1000H,Check convertor mounting bolts
ALL,1000H,Check and tighten all transmission mounts
ALL,1000H,Inspect and lubricate high speed driveline
ALL,1000H,Check input and output bearings
ALL,1000H,Check closely for leaks
ALL,1000H,Check condition and mounting of all hoses
ALL,1000H,"Check retarder mounting, plumbing and operation"
ALL,1000H,Front Axle
ALL,1000H,Change axle and planetary oils
ALL,1000H,Check entire axle for leaks
ALL,1000H,Clean axle breather
ALL,1000H,Check axle tie bolts condition and tightness
ALL,1000H,Retorque wheel nuts
ALL,1000H,Check and lubricate oscillating axle assembly
ALL,1000H,Check condition of tires and rims
ALL,1000H,Check all hoses and wiring under front half of machine
ALL,1000H,Rear Axle
ALL,1000H,Change axle and planetary oils
ALL,1000H,Check over entire axle for leaks
ALL,1000H,Clean axle breather
ALL,1000H,Check axle mounting bolts 
ALL,1000H,Inspect and lubricate oscillating axle assembly
ALL,1000H,Retorque wheel nuts
ALL,1000H,Check condition of tires and rims
ALL,1000H,Check all hoses and wiring under rear half of machine
ALL,1000H,BRAKES SYSTEM
ALL,1000H,"Check condition, mounting leaks on all brake cooling lines"
ALL,1000H,Change brake cooling oil
ALL,1000H,Change all brake filters
ALL,1000H,Check for damaged or worn brake lines
ALL,1000H,Check proper operation of all brake valves
ALL,1000H,Ensure all brake pressures are correct
ALL,1000H,Check entire brake system for leaks
ALL,1000H,Check condition and clearance of park brake pucks
ALL,1000H,"Check condition and mounting of calipers, pads and rotors"
ALL,1000H,Check all brake accumulators pre-charge pressure
ALL,1000H,HYDRAULICS SYSTEM
ALL,1000H,Change hydraulic oil
ALL,1000H,Change all hydraulic filters
ALL,1000H,Check over entire unit for hydraulic leaks
ALL,1000H,Check and record main hydraulic pressure
ALL,1000H,"Check all hoses for mounting, routing and condition"
ALL,1000H,Check mounting of all pumps and valves
ALL,1000H,Check all hydraulic functions for proper operation
ALL,1000H,STEERING SYSTEM
ALL,1000H,Check and record steering pressure
ALL,1000H,Check steering operation and speed
ALL,1000H,Change steering filter
ALL,1000H,Check operation of emergency steering
ALL,1000H,Check operation of dump valve
ALL,1000H,Check steering accumulator pre-charge
ALL,1000H,Check condition of all steering linkage
ALL,1000H,Check adjustment and condition of steering stops
ALL,1000H,Check condition of steering pins and bushings
ALL,1000H,Check condition of steering cylinders
ALL,1000H,ELECTRICAL SYSTEM 
ALL,1000H,Check clean and tighten all battery connections and mounts
ALL,1000H,Check electrolyte level and specific gravity
ALL,1000H,Check all gauges and switches condition and operation
ALL,1000H,Check all wiring and harnessess condition and mounting
ALL,1000H,Check all lights for operation and condition
ALL,1000H,Check function of FSS engine shutdown
ALL,1000H,FRAME & ATTACHMENTS
ALL,1000H,Check and adjust centre pins as required
ALL,1000H,"Check steer,  hoist cyl. pins and bushings"
ALL,1000H,"Check box for wear, damage and cracks"
ALL,1000H,Check entire frame for damage or cracks
ALL,1000H,"Check ROPS for damage, cracks and mounting"
ALL,1000H,Ensure ROPS tag is securely mounted and legible
ALL,1000H,Check fire extinguisher mounting and condition
ALL,1000H,Inspect all grease lines mounting and condition
ALL,1000H,Inspect all grease fittings conditon and functionality
ALL,1000H,Grease entire unit
ALL,1000H,FIRE SUPPRESSION (MANUAL SYSTEM)
ALL,1000H,Units Equipped with Checkfire use Ansul Inspection Sheet
ALL,1000H,Note general appearance and mount of dry chemical tank
ALL,1000H,"Check nameplates for readabilty, mounting and corrosion"
ALL,1000H,"Remove fill cap,examine gasket, threads and relief vent"
ALL,1000H,Ensure tank is filled with free flowing ansul dry foray chemical to a level not more than three inches below bottom of fill opening
ALL,1000H,Lubricate fill cap gasket with high temp grease and reinstall hand tight
ALL,1000H,Ensure tank is securely mounted and damage free
ALL,1000H,Disengage burst disc union and examing burst disc
ALL,1000H,Install air line adapter and blow air through system ensuring all nozzles receive air and no leaks in system
ALL,1000H,Remove adapter and reinstall burst disc union wrench tighten but with caution
ALL,1000H,"Check all hoses, fittings and nozzles for damage mounting and wear"
ALL,1000H,"Check all nozzles for placement, mounting and condition, install new blow-off caps"
ALL,1000H,Check remote actuator. Inspect threads and relief vent examine and lubricate gasket
ALL,1000H,Remove expellant gas cartridge check for damage or corrosion
ALL,1000H,Pull ring pin and try actuator several times checking for freedom of movement
ALL,1000H,Check threads and relief vent check and lubricate gasket with high temp grease
ALL,1000H,Return cartridge to receiver and hand tighten
ALL,1000H,Ensure FSS engine shutdown is functional
ALL,1000H,Seal ring pin to actuator with plastic seal or lead and wire
ALL,250H,Check for unusual engine or power train noise
ALL,250H,"Check for visible leaks in engine, fuel, transmission, hydraulics and brakes"
ALL,250H,Check transmission and steering operation
ALL,250H,Check park brake hold and operation
ALL,250H,Check service brake hold and operation
ALL,250H,Wash machine thoroughly and remove all garbage
ALL,250H,Check seat belt mount and operation
ALL,250H,Ensure unit has wheel chocks and properly mounted
ALL,250H,Check for damaged windows or mirrors
ALL,250H,Check condition and mounting of all seats
ALL,250H,Check frame and welds for cracks and condition
ALL,250H,Check all mounting bolts
ALL,250H,"Check all hinges, cables, and control levers"
ALL,250H,ENGINE SECTION
ALL,250H,Check engine mounts
ALL,250H,Check for oil leaks
ALL,250H,Check for fuel leaks
ALL,250H,Check throttle system and cables
ALL,250H,Check radiator hoses for wear and leaks
ALL,250H,Check anti-freeze level and strength
ALL,250H,"Check exhaust system for wear, damage or leaks"
ALL,250H,FILTERS AND OILS
ALL,250H,Replace engine oil and filter
ALL,250H,"Check transmission and transfer case oil level, add if required"
ALL,250H,Check front and rear diffs oil level add if required
ALL,250H,Replace air cleaner if required
ALL,250H,TRANSMISSION AND AXLES
ALL,250H,Check and adjust clutch
ALL,250H,Inspect u-joints and drivelines
ALL,250H,Check transmission and transfer case for leaks
ALL,250H,"Check steering knuckle, tie rods, and steering column for wear or damage"
ALL,250H,"Check steering box, pump and hoses for leaks or wear"
ALL,250H,Check all brake lines for leaks and condition
ALL,250H,Retorque wheel nuts
ALL,250H,Adjust brakes if required
ALL,250H,Check leaf and coil springs and bushings for damage
ALL,250H,Check tire condition and pressure
ALL,250H,ELECTRICAL SYSTEM 
ALL,250H,"Check front lights, rear lights, signal lights, clearance lights, switches and wiring"
ALL,250H,"Check dash, dash lights and gauges"
ALL,250H,Inspect engine shutdown
ALL,250H,Check alternator mounting belts and charging
ALL,250H,Check starter mounting and operation
ALL,250H,Clean and check battery terminals and cables
ALL,250H,Check and adjust electrolyte level in battery
ALL,250H,Check operation of back-up alarm and reverse lights
ALL,250H,LUBRICATION SYSTEM
ALL,250H,Check all grease points for fittings and grease entire machine
ALL,250H,FRAME & ATTACHMENTS
ALL,250H,"Check all attachments for cracks, wear, damage and mounting"
ALL,250H,"Inspect decking and hand rails, any deficiencies to be repaired before it goes back to work"
ALL,250H,BRAKES SYSTEM
ALL,250H,Check and test park and auxiliary brakes
ALL,250H,Check and test service brakes
ALL,250H,Test brake interlock where applicable
ALL,250H,Test shutdown auxiliary brakes apply
ALL,250H,Inspect all brake hoses and cables for damage or leaks
ALL,250H,Check fluid level and condition
ALL,250H,Ensure all wheel chocks are present
ALL,250H,Perform park brake test
ALL,250H,Perform service brake test
ALL,250H,Check start & neutral start function
ALL,250H,Check mounting & operation of all lights
ALL,250H,Check operation & condition of all guages
ALL,250H,Check seat & seat belts for condition & mounting
ALL,250H,Check unit for visible leaks
ALL,250H,Wash machine
ALL,250H,Check for unusal noises & vibrations
ALL,250H,FILTERS AND OILS
ALL,250H,Change engine oil & filter
ALL,250H,Change fuel filters
ALL,250H,Change transmission filter & check level
ALL,250H,Change hydraulic H/P filter
ALL,250H,Change return filter
ALL,250H,Change inner air filter if required
ALL,250H,Change outer air filter if required
ALL,250H,Start engine check for leaks
ALL,250H,ENGINE SECTION
ALL,250H,Inspect all intake & exhaust piping & manifolds
ALL,250H,"Inspect fan, fan drive, & belts, adjust if required"
ALL,250H,"Check alternator mounts, belts & charging"
ALL,250H,Check starter mounting & operation
ALL,250H,"Check for oil, coolant or fuel leaks"
ALL,250H,Check coolant level & strength
ALL,250H,Check rad & shroud condition & mounting 
ALL,250H,Check all engine wiring harnesses for condition & mounting
ALL,250H,TRANSMISSION SYSTEM
ALL,250H,"Check shift linkage, controls & neutral start function"
ALL,250H,Check transmission & convertor for leaks
ALL,250H,Check all hoses for leaks & wear
ALL,250H,Check & torque transmission mounting bolts & mounts
ALL,250H,Check all u-joints & drivelines
ALL,250H,Front Axle
ALL,250H,Check axle level
ALL,250H,Check axle for leaks
ALL,250H,Check all guards & skids are in place
ALL,250H,"Check brake actuator, brake lines for leaks & damage"
ALL,250H,Clean axle breather
ALL,250H,Check tie bolts
ALL,250H,Check tires and rims
ALL,250H,Torque wheel nuts
ALL,250H,Check all hoses and wiring under front half of machine
ALL,250H,Rear Axle
ALL,250H,Check axle level
ALL,250H,Check axle for leaks
ALL,250H,Check all guards & skids are in place
ALL,250H,"Check brake actuator, brake lines for leaks & damage"
ALL,250H,Clean axle breather
ALL,250H,Check tie bolts
ALL,250H,Check tires and rims
ALL,250H,Torque wheel nuts
ALL,250H,Check all hoses and wiring under rear half of machine
ALL,250H,BRAKES SYSTEM
ALL,250H,Check complete brake system for leaks
ALL,250H,"Check all lines for damage, mounting & leaks"
ALL,250H,"Check accumulator pressures, mounting & leaks"
ALL,250H,Check brake functions both axles
ALL,250H,Check engine will not start unless brake applied
ALL,250H,HYDRAULICS SYSTEM
ALL,250H,Check hydraulic oil level
ALL,250H,Check for hydraulic leaks
ALL,250H,Check pumps for mounting & leaks
ALL,250H,Check steer valve operation
ALL,250H,"Check jacks for mounting, pads, pins & operation"
ALL,250H,"Check accumulator pressures, mounting & leaks"
ALL,250H,Check operation of all hydraulics
ALL,250H,ELECTRICAL SYSTEM 
ALL,250H,"Check & clean battery terminals, posts & cover"
ALL,250H,"Check cables & conections at starter, alternator & master switch"
ALL,250H,Check all switches & guages for proper operation
ALL,250H,Check all lights operation & wiring
ALL,250H,Check neutral start is working
ALL,250H,LUBRICATION SYSTEM
ALL,250H,Check all grease points have fittings & take grease
ALL,250H,Check all grease lines for leaks
ALL,250H,Grease entire machine
ALL,250H,FRAME & ATTACHMENTS
ALL,250H,Check midship pins for wear or damage
ALL,250H,"Check steer cylinder,pins & bushings"
ALL,250H,Check over entire frame for cracks or damage
ALL,250H,"Check all floor plates, covers for condition & mounting"
ALL,250H,Check boom for leaks & cracks
ALL,250H,Check work platform for cracks
ALL,250H,Check all rails on work platform
ALL,250H,Check all cylinders and pins on boom for wear & condition
ALL,250H,FIRE SUPPRESSION (MANUAL SYSTEM)
ALL,250H,Inspect dry chemical tank for damage or corrosion
ALL,250H,Check nameplate for readability & mounting
ALL,250H,"Remove & examine fill cap, & lube seal with silcone grease"
ALL,250H,"Check tank is filled no more than 3"" from bottom of opening"
ALL,250H,Check ansul powder is loose
ALL,250H,Secure cap hand tight & check tank mounting
ALL,250H,Take off main hose & check bursting disc
ALL,250H,Using adapter blow air through ansul lines
ALL,250H,Check all nozzles for mounting & condition
ALL,250H,Install blow off caps
ALL,250H,"Check remote actuators threads,relief vent & lubriate gaskets"
ALL,250H,Remove nitrogen gas cartridges check for damage or corrosion
ALL,250H,Pull pin and check actuator for free movement
ALL,250H,"Install cartridge and actuator pin, with plastic seal "
ALL,250H,Check engine shutdown is working
ALL,250H,Date of inspection
ALL,500H,Ensure all wheel chocks are present
ALL,500H,Perform park brake test
ALL,500H,Perform service brake test
ALL,500H,Check start & neutral start function
ALL,500H,Check mounting & operation of all lights
ALL,500H,Check operation & condition of all guages
ALL,500H,Check seat & seat belts for condition & mounting
ALL,500H,Check unit for visible leaks
ALL,500H,Wash machine
ALL,500H,Check for unusal noises & vibrations
ALL,500H,FILTERS AND OILS
ALL,500H,Change engine oil & filter
ALL,500H,Change fuel filters
ALL,500H,Change transmission filter & check level
ALL,500H,Change hydraulic H/P filter
ALL,500H,Change return filter
ALL,500H,Change inner air filter if required
ALL,500H,Change outer air filter if required
ALL,500H,Start engine check for leaks
ALL,500H,ENGINE SECTION
ALL,500H,Inspect all intake & exhaust piping & manifolds
ALL,500H,"Inspect fan, fan drive,& belts, adjust if required"
ALL,500H,"Check alternator mounts, belts & charging"
ALL,500H,Check starter mounting & operation
ALL,500H,"Check for oil,coolant or fuel leaks"
ALL,500H,Check coolant level & strength
ALL,500H,Check rad & shroud condition & mounting 
ALL,500H,Check all engine wiring harnessess for condition & mounting
ALL,500H,TRANSMISSION SYSTEM
ALL,500H,"Check shift linkage, controls & neutral start function"
ALL,500H,Check transmission & convertor for leaks
ALL,500H,Check all hoses for leaks & wear
ALL,500H,Check & torque transmission mounting bolts & mounts
ALL,500H,Check all u-joints & drivelines
ALL,500H,Front Axle
ALL,500H,Check axle level
ALL,500H,Check axle for leaks
ALL,500H,Check all guards & skids are in place
ALL,500H,"Check brake actuator, brake lines for leaks & damage"
ALL,500H,Clean axle breather
ALL,500H,Check tie bolts
ALL,500H,Check tires and rims
ALL,500H,Torque wheel nuts
ALL,500H,Check all hoses and wiring under front half of machine
ALL,500H,Rear Axle
ALL,500H,Check axle level
ALL,500H,Check axle for leaks
ALL,500H,Check all guards & skids are in place
ALL,500H,"Check brake actuator, brake lines for leaks & damage"
ALL,500H,Clean axle breather
ALL,500H,Check tie bolts
ALL,500H,Check tires and rims
ALL,500H,Torque wheel nuts
ALL,500H,Check all hoses and wiring under rear half of machine
ALL,500H,BRAKES SYSTEM
ALL,500H,Check complete brake system for leaks
ALL,500H,"Check all lines for damage, mounting & leaks"
ALL,500H,"Check accumulator pressures, mounting & leaks"
ALL,500H,Check brake functions both axles
ALL,500H,Check engine will not start unless brake applied
ALL,500H,HYDRAULICS SYSTEM
ALL,500H,Check hydraulic oil level
ALL,500H,Check for hydraulic leaks
ALL,500H,Check pumps for mounting & leaks
ALL,500H,Check steer valve operation
ALL,500H,"Check jacks for mounting, pads, pins & operation"
ALL,500H,"Check accumulator pressures, mounting & leaks"
ALL,500H,Check operation of all hydraulics
ALL,500H,ELECTRICAL SYSTEM 
ALL,500H,"Check & clean battery terminals, posts & cover"
ALL,500H,"Check cables & conections at starter,alternator & master switch"
ALL,500H,Check all switches & guages for proper operation
ALL,500H,Check all lights operation & wiring
ALL,500H,Check neutral start is working
ALL,500H,LUBRICATION SYSTEM
ALL,500H,Check all grease points have fittings & take grease
ALL,500H,Check all grease lines for leaks
ALL,500H,Grease entire machine
ALL,500H,FRAME & ATTACHMENTS
ALL,500H,Check midship pins for wear or damage
ALL,500H,"Check steer cylinder,pins & bushings"
ALL,500H,Check over entire frame for cracks or damage
ALL,500H,"Check all floor plates, covers for condition & mounting"
ALL,500H,Check boom for leaks & cracks
ALL,500H,Check work platform for cracks
ALL,500H,Check all rails on work platform
ALL,500H,Check all cylinders and pins on boom for wear & condition
ALL,500H,FIRE SUPPRESSION (MANUAL SYSTEM)
ALL,500H,Inspect dry chemical tank for damage or corrosion
ALL,500H,Check nameplate for readability & mounting
ALL,500H,"Remove & examine fill cap, & lube seal with silcone grease"
ALL,500H,"Check tank is filled no more than 3"" from bottom of opening"
ALL,500H,Check ansul powder is loose
ALL,500H,Secure cap hand tight & check tank mounting
ALL,500H,Take off main hose & check bursting disc
ALL,500H,Using adapter blow air through ansul lines
ALL,500H,Check all nozzles for mounting & condition
ALL,500H,Install blow off caps
ALL,500H,"Check remote actuators threads,relief vent & lubriate gaskets"
ALL,500H,Remove nitrogen gas cartridges check for damage or corrosion
ALL,500H,Pull pin and check actuator for free movement
ALL,500H,"Install cartridge and actuator pin, with plastic seal "
ALL,500H,Check engine shutdown is working
ALL,500H,Date of inspection
ALL,1000H,Ensure all wheel chocks are present
ALL,1000H,Perform park brake test
ALL,1000H,Perform service brake test
ALL,1000H,Check start & neutral start function
ALL,1000H,Check mounting & operation of all lights
ALL,1000H,Check operation & condition of all guages
ALL,1000H,Check seat & seat belts for condition & mounting
ALL,1000H,Check unit for visible leaks
ALL,1000H,Wash machine
ALL,1000H,Check for unusal noises & vibrations
ALL,1000H,Filters and Oils
ALL,1000H,Change engine oil & filter
ALL,1000H,Change fuel filters
ALL,1000H,Change transmission filter & check level
ALL,1000H,Change hydraulic H/P filter
ALL,1000H,Change return filter
ALL,1000H,Change inner air filter if required
ALL,1000H,Change outer air filter if required
ALL,1000H,Start engine check for leaks
ALL,1000H,ENGINE SECTION
ALL,1000H,Inspect all intake & exhaust piping & manifolds
ALL,1000H,"Inspect fan, fan drive,& belts, adjust if required"
ALL,1000H,"Check alternator mounts, belts & charging"
ALL,1000H,Check starter mounting & operation
ALL,1000H,"Check for oil,coolant or fuel leaks"
ALL,1000H,Check coolant level & strength
ALL,1000H,Check rad & shroud condition & mounting 
ALL,1000H,Check all engine wiring harnessess for condition & mounting
ALL,1000H,TRANSMISSION SYSTEM
ALL,1000H,"Check shift linkage, controls & neutral start function"
ALL,1000H,Check transmission & convertor for leaks
ALL,1000H,Check all hoses for leaks & wear
ALL,1000H,Check & torque transmission mounting bolts & mounts
ALL,1000H,Check all u-joints & drivelines
ALL,1000H,Front Axle
ALL,1000H,Check axle level
ALL,1000H,Check axle for leaks
ALL,1000H,Check all guards & skids are in place
ALL,1000H,"Check brake actuator, brake lines for leaks & damage"
ALL,1000H,Clean axle breather
ALL,1000H,Check tie bolts
ALL,1000H,Check tires and rims
ALL,1000H,Torque wheel nuts
ALL,1000H,Check all hoses and wiring under front half of machine
ALL,1000H,Rear Axle
ALL,1000H,Check axle level
ALL,1000H,Check axle for leaks
ALL,1000H,Check all guards & skids are in place
ALL,1000H,"Check brake actuator, brake lines for leaks & damage"
ALL,1000H,Clean axle breather
ALL,1000H,Check tie bolts
ALL,1000H,Check tires and rims
ALL,1000H,Torque wheel nuts
ALL,1000H,Check all hoses and wiring under rear half of machine
ALL,1000H,BRAKES SYSTEM
ALL,1000H,Check complete brake system for leaks
ALL,1000H,"Check all lines for damage, mounting & leaks"
ALL,1000H,"Check accumulator pressures, mounting & leaks"
ALL,1000H,Check brake functions both axles
ALL,1000H,Check engine will not start unless brake applied
ALL,1000H,HYDRAULICS SYSTEM
ALL,1000H,Check hydraulic oil level
ALL,1000H,Check for hydraulic leaks
ALL,1000H,Check pumps for mounting & leaks
ALL,1000H,Check steer valve operation
ALL,1000H,"Check jacks for mounting, pads, pins & operation"
ALL,1000H,"Check accumulator pressures, mounting & leaks"
ALL,1000H,Check operation of all hydraulics
ALL,1000H,ELECTRICAL SYSTEM 
ALL,1000H,"Check & clean battery terminals, posts & cover"
ALL,1000H,"Check cables & conections at starter,alternator & master switch"
ALL,1000H,Check all switches & guages for proper operation
ALL,1000H,Check all lights operation & wiring
ALL,1000H,Check neutral start is working
ALL,1000H,LUBRICATION SYSTEM
ALL,1000H,Check all grease points have fittings & take grease
ALL,1000H,Check all grease lines for leaks
ALL,1000H,Grease entire machine
ALL,1000H,FRAME & ATTACHMENTS
